Название,Описание,Оценка
One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken,краткий пересказ первый арка аниме пис рассказать тот луффи познакомиться зоро мы усопп санджи,7.89
Itsudatte Bokura no Koi wa 10 cm Datta.,третий ветка история исполнительный комитет признание любовь сей раз коснуться взаимоотношение харуки мио который многие считать возлюбить пара продолжать непреклонно настаивать они весь друг пытаться обмануть весь себя потому они никак удаваться преодолеть последний сантиметр отделять правда вымысел,7.5
New My Tear CL Series,рекламный ролик участие персонаж аниме смотреть фейерверк,5.39
Anisama,небольшой видео персонаж аниме kemono friends выпустить честь сам большой музыкальный аниме фестиваль мир,5.82
Sono Me ga Mitsumeru Mono,рекламный ролик участие персонаж аниме пис,5.31
One Piece Film: Gold - Cine Mike Popcorn Kokuchi,особый коллаборация аниме пис золото toho cinemas рассказывать ограниченный издание попкорн cine mike,6.26
Evil or Live,избыточный использование интернет привести тот ныне подросток напрочь отсутствовать потребность нормальный образ жизнь делать справляться свой отпрыск родитель принудительно лечить спросить где внимательно это учреждение есть только один правило я директор ваш закон мы уничтожить вы интернет зависимость мы полностью истребить желание смотреть игровой консоль никакой посещение никакой выход наружу насилие единственный лечение ваш болезнь мы быть выбивать вы кровь понять отвечать можно громкий особенно ты новенький побыть пока наш санаторий свой восемнадцатилетие никакой ошибка,5.81
Pingu in the City,пинг он семья переезжать небольшой деревня большой город который жить огромный количество пингвин самый разный профессия главный герой стараться помочь пингвин они рабочий место он озорной проделка портить,6.54
Mahou Shoujo Site,аи асагиря жизнь настоящий пучина ад каждый день она подвергаться издевательство оскорбление сторона свой сверстник дом её ждать побои старший брат тиран который считать он главный ребёнок семья друг который смочь помочь аи нет единственный помогать отвлечься весь происходить компьютер интернет однажды ая внезапно натыкаться страница девочка волшебница ознакомиться сайт она получать письмо он создатель письмо сказать она быть подарить настоящий волшебный палочка сам асагиря отправиться прекрасный мир грёза есть один условие,6.5
Uchuu Senkan Tiramisù,человеческий жадность распростереться далеко предел родный планета обратить свой непомерный аппетит сторона бескрайний космический пространство послужить начало новый кровопролитный война ресурс колония безжалостный новый эра отважный гениальный пилот субару ичиносэ оказаться прикомандировать борт космический линкор тирамис защищать он дорого юноша вынудить участвовать боевой действие отстаивать право свой личный пространство кабина боевой робот дюрандать единственный место где он мочь оставаться наедине себя чувствовать себя комфортно раз разом он прийтись влипать комический ситуация находить они выход присущий он эпический крутизна,6.37
Natsume Yuujinchou Roku Specials,два дополнительный эпизод аниме сериал тетрадь дружба нацумэ включить dvd издание аниме сериал,8.4
Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow,субару товарищ одолеть демон вольгарма спасти деревня ирлама худо бедно устаканиться какой мир субару тут отправиться секретный миссия идеальный маскировка наш спецагент быть легко раскрыть петра ребёнок миссия провалить весь пять секунда оказаться встреча эмилия,7.55
Daybreak Interlude,видеоклип песня daybreak interlude группа trigger's выпустить альбом regality,7.05
Hinamatsuri (TV),однажды ночью голова ничего подозревать член якудз имя йошифуметь нитта сваливаться странный предмет вместе они куча проблема странный предмет оказываться коробка менее странный девочка девочка звать хина она обладать потрясать сверхъестественный способность мочь йошифуметь надо свалиться он голова счастие получаться он оставлять девочка жить себя её суперсила мочь оказаться вполне полезный он работа всегда оставаться нехилый риск тот хина применить свой способность тот кто указать йошифуметь он сам говорить небольшой минус связанный сверхспособность хина они использовать течение время терять рассудок превращаться безумный монстр уничтожать попасться рука начинаться необычный жизнь крайне необычный парочка,8.19
Zutto Mae kara Suki deshita.: Kokuhaku Jikkou Iinkai - Kinyoubi no Ohayou,короткий видео основа который лечь сюжет песня добрый пятничный утро яп 金曜日のおはよう добрый пятничный утро другой история яп 金曜日のおはよう another story honeyworks каждый будничный утро сэн входить вагон свой станция она неизменно встречать там молодой человек форма свой старший школа раз раз решаться они заговорить проявлять он симпатия она ещё знать самый мучительный первый шаг чей сторона мочь принести неожиданный плод проявить капля решительность,7.15
Blade Runner: Black Out 2022,событие аниме разворачиваться недалёкий будущее где мир населить репликант создать выполнять работа любой сложность являться предыстория фильм бежать лезвие 2049,6.96
Butlers: Chitose Momotose Monogatari,аниме рассказать мы приключение два главный герой ученик престижный академия один они кома джингуджа умный привлекательный президент студенческий совет чей ласковый улыбка сражать девушка наповал второй цубас хаякава разносторонний одарённый безупречно вежливый работник местный кафе он фирменный латта искусный рисунок кофейный пенка вызывать восторг многочисленный посетительница кафе двое молодой человек известный дворецкий путешествовать время стремиться одолеть свой заклятый враг очаровательный красавец только честь сражаться сверхъестественный битва влипать всевозможный история свой нелёгкая весёлый школьный жизнь,5.64
Shichisei no Subaru,онлайн игра жанр mmorpg становиться популярный один такой игра название union существовать непобедимый гильдия плеяда только сейчас её существование напоминать легенда причина тот ужасный инцидент произойти несколько год назад асаха один член гильдия умереть игра встретить смерть реальный жизнь связь это сервер игра прийтись закрыть бывший член плеяда постепенно отдалиться друг друг шесть год разработчик union вновь решить попытать счастие поприще рынок онлайн игра харуто бывший лидер гильдия плеяда зарегистрироваться новосоздана игра лёгкость опытный игрок пройти несколько уровень только каков быть он удивление он один локация обнаружить свой погибший подруга асаха живой невредимый такой глупый шутка маска погибший скрываться самозванец быть мочь асаха умирать вовсе,6.12
Gaikotsu Shotenin Honda-san,это комедийный сериал главный действовать лицо являться скелет имя хонда который работать продавец книжный магазин вы спросить скелет мочь работать ещё магазин мы ответить япония каждый новый рабочий день приносить он новый проблема который необходимо решить новый покупатель чей запрос нужно удовлетворить новый уморительный ситуация который прийтись выбираться мы узнать казаться скучный работа касса книжный магазин сам дело интересный полный юмор,7.31
Quanzhi Fashi II,встреча странный старик жизнь фаня мо измениться навсегда вручить парнишка странный кулон он переместить он другой мир он родный друг остаться прежний только наука техника большой играть былой роль это мир главное магия поначалу фаня мо быть сложно свыкнуться новый условие теперь он один хороший ученик школа магия тот пробудить себя невероятно редкий стихия молния тайный становиться явный ход очередной магический дуэль фаня мо проявлять секретный способность он дар узнавать весь школа,6.73
Nissin no Donbei x Kemono Friends,рекламный ролик участие персонаж аниме друг зверушка,6.06
Shiyan Pin Jiating,один городок проживать вид обычный семья говориться внешность бывать обманчивый этот семейка можно найти сын оборотень мать телепат паукообразный дочь почему они стать такой отец семейство гениальный учёный генетик который лёгкость мочь модифицировать тело человек однажды он взбрести голова провести большой эксперимент свой семья кардинально изменить они жизнь младший сын танис остаться нормальный свой родный сам себя такой семья неминуемо стать интересный пресса поэтому они главный задача привлекать внимание выдавать свой способность справиться они это,6.35
Kenja no Mago,скучный жизнь шина обычный офисный работник казаться ждать ничего рутина судьба они распорядиться немного иначе сила некоторый обстоятельство шина умирать отличие обычный человек какой причина помнить событие прошлый жизнь тот рождаться он далеко привычный себя мир здесь править волшебство магия шина приютить мудрец мерлина вырастить он выдающийся волшебник тот жить отшельничество поэтому шина ничего знать внешний мир исправить шина отправлять королевский школа волшебство такой уж хороший идея,6.55
Princess Principal: Ange Report,пересказ событие первый восемь серия аниме сериал принцесса шпионка хронологический порядок повествование вестись лицо анж самый формировать её предполагать отчёт начальство дело номер рассказ затрагивать детский воспоминание анж шарлотта это показать восьмой серия,6.46
One Room Second Season,три девушка три история общий один комната жилой район,6.1
Toaru Majutsu no Index III,мир стоить порог война наука магия качество сторона конфликт выступать академия сити япония англиканский церковь великобритания римско католический церковь глава трон справа бог италия франция русский православный церковь россия карисс она второй принцесса британия считать помощь академия сити война принести никакой преимущество её страна поэтому решать совершить переворот пользоваться поддержка верный она рыцарь тот заполучить сила необходимый переворот она потребоваться артефакт оригинальный куртана давать он обладатель подчинённый сила архангел михаил только предел территория британия,6.77
Sword Art Online Movie: Ordinal Scale - Sword Art Offline,новый выпуск передача мастер меч офлайн который ведущий кирить асуна юи вместе специальный гость юный комедийный манера обсуждать событие фильм мастер меч онлайн порядковый ранг,6.86
Touken Ranbu: Hanamaru - Makuai Kaisouroku,краткий содержание аниме сериал танец меч цветочный круг,6.47
Boku no Hero Academia 3rd Season,год провести геройский академия юэй ученик класс научиться многое время они произойти уйма событие различный тренировка практика экзамен многочисленный битва злодей сдача годовой экзамен класс быть решить отправить летний тренировочный лагерь где опытный учитель быть давить ученик они справиться весь свой трудность выйти новый уровень владение причуда пройти этот школьный поездка тихо мирно обернуться очередной побоище,8.18
Shoujo Shuumatsu Jugyou,серия короткий комедийный ролик тибить версия персонаж аниме девушка последний путешествие попасть школа,6.46
Tada-kun wa Koi wo Shinai,один обычный японский школа учиться ученик старший класс мицуёсить тада мечтать стать профессиональный фотограф увлечение фотография он немного подрабатывать кофейня свой дедушка однажды парень отправляться центральный парк родный город снять камера цветение сакура послать этот фотография конкурс парка он внезапно встречаться милый девушка имя тереза вагнер тереза прилететь люксембург учиться обмен гулять город она отстать свой компаньон потеряться незнакомый она место тада настоящий джентльмен решать помочь бедняжка поиск свой компаньон этот встреча он забыть никогда,7.55
Love Live! Sunshine!! Recap,краткий пересказ событие аниме сериал живой любовь сияние,6.76
Sword Art Online: Alicization,кирить просыпаться гуща огромный фантастический лес попытка разузнать он там очутиться он встречать мальчик который казаться знать он он должный быть обычный npc он эмоция ничуть отличаться человеческий время кирить возвращаться некий воспоминание воспоминание он детство это мальчик девочка золотой солнце волос имя который он никогда должный забыть алиса,7.56
Sword Art Online Alternative: Gun Gale Online,карэн всегда чувствовать себя лишний реальный мир она принадлежать он свой высокий рост целый 183 смотреть девушка быть очень трудно завести подруга ровесница измениться карэн познакомиться небезызвестный vrmmorpg gun gale online мир ggo карэн мочь сыграть персонаж свой мечта невысокий девочка одетый розовый смочь карэн найти друг этот экшен игра,7.03
Drifters (OVA),два дополнительный эпизод аниме скиталец выпустить dvd blu ray диск,7.56
Doupo Cangqiong,добро пожаловать страна где магия существовать земля где правило диктовать сильный мир сие слабый должный подчиняться место наполнить только заманчивый сокровище невиданный красота непредвиденный опасность три год назад янь сяо талантливый юноша продемонстрировать невиданный доселе способность одночасье остаться он потерять могущество репутация обещание данный мать какой колдовство внезапно поменять судьба наш герой почему вдруг появиться он невеста,7.28
Road to You,действие разворачиваться заснеженный местность касаться взаимоотношение три различный группа состоять мужчина женщина первый пара влюбить второй ребёнок он родитель третий товарищ работа,6.75
Mekakucity Records,видеоклип серия kagerou project выйти официальный dvd музыкальный альбом mekakucity records yobanashi deceive лживый ночной разговорпеснить шуя кано вокал ia клип sidu lost time memory память потерянный временипеснить шинтаро кисарага вокал ia клип sidu ayano no kofuku riron теория счастие аянопесня аять татэям вокал ia клип sidu,7.52
Overlord Movie: Ple Ple Pleiades,й эпизод плеяда помогать хамскэ поиск партнёр й эпизод актёр пандора образ кот пытаться понять быть любимый,6.87
MahoYome: Aisatsu,короткий эпизод который тисэ элиас рута решать кто быть говорить аниме невеста чародей начать выходить твиттер итог представить он тисэ,6.03
Ulysses: Jehanne Darc to Renkin no Kishi,франция век идти жестокий столетний война англия начаться отказ принятие французский престол английский король эдуард монморанси сын аристократ увлечь изучение магия алхимия школа рыцарь сокрушительный поражение франция битва азенкура школа быть расформировать потерять монморанси который только только стать алхимик вынудить спасаться бегство путь он встречать чудесный деревенский девушка имя жанна,5.33
Tokyo Ghoul:re,много год пройти момент разрушение антэйк данный момент ccg единственный организация заниматься вопрос защита человек гуля решать взять противник верх помощь имплантация свой агент какухо защитный охотничий орган гуля имплантация пройти успешно итог быть создать отряд куинкс четыре человек менторство который взять хайсэ сасак хайсэ первый куинксова он происхождение окутать тайна загадка частность он сам сасак уверенность мочь сказать кто он являться сейчас мочь вспомнить остальной двадцать год свой жизнь понять странный голос сопровождать он мысль навести порядок голова хайсэ сосредоточиваться актуальный задача подготовка свой боец достижение свой личный цель превзойти следователь кишо арим отряд куинкс должный научиться контролировать сила гуля сам себя тот продемонстрировать свой сила ccg многие другой команда смотреть куинксова подозрение хайсэ он отряд готовый побороться репутация пока член куинкса весь сила пытаться реализовать себя гуля древо аогиря становиться человек проблема номер один всегда попытка ccg уничтожение гуля корень пресекаться новый новый организация гуля более сильный более умный более собранный предыдущий мера тот война человек гулем набирать оборот поле бой начинать появляться знакомый прошлый сражение лицо,6.45
Rokuhoudou Yotsuiro Biyori,история разворачиваться японский чайный дом рокуходый который усилие работник пользоваться большой популярность кёсовать грегорио токитака цубак только гостеприимный свой клиент время время помогать они они забота серия восхитительный история который происходить это уютный ресторанчик кто быть они клиент сегодня,7.6
Beatless,2105 год стать популярный гуманоидный андроид г который войти обиход общество они рассматриваться личный игрушка который можно использовать захотеться многий устраивать есть тот кто считать иначе арато эндо отличие свой друг думать андроид достойный больший равняться вещь ночью арато становиться свидетель необъяснимый техника начинать сходить ум г уничтожаться время это хаос парень находить удивительный образ уцелеть андроид кодовый имя лация неожиданный встреча жизнь арато полностью меняться открывать глаз правда,6.2
Ninja Batman,горилла гродда заклятый противник бэтмена создавать машина перемещение время её помощь закидывать тёмный рыцарь некоторый он союзник многий злой враг время феодальный япония там он враг принимать себя роль феодальный вассал джокер глава угол привычный высокотехнологичный гаджет бэтмена становиться здесь бесполезный поэтому он прийтись полагаться свой ум союзник женщина кошка увеличиться бэт семья брюс восстановить этот земля порядок вернуться родный современный готэма,6.1
Ling Qi 2,продолжение аниме сериал контракт душа отношение цзинхуа ян си дуаньм стать более доверительный совместно пройти испытание они жизнь это стать спокойный теперь цзинхуа предстоять открыть тайна прошлое душа си узнать он тревожить,7.48
Dorei-ku The Animation,жизнь эйи аракав быть она день день испытывать чувство невыносимый скука сколько её упрекать чёрствость она продолжать вести себя ничего произойти снедать чувство неудержимый любопытство девушка согласиться встреча два молодой человек который состоять гомосексуальный отношение только потому смочь представить кто бросить её подруга другой парень неожиданно себя эйя познакомиться югойя отой молодой человек одержимый один единственный мысль иметь раб терять время даром юноша предложить она рисковой затея известный узкий круг устройство scm который влиять человеческий сознание она согласиться стать он союзник игра попирать свой существование мыслимый моральный устой начаться они история,5.96
The iDOLM@STER SideM: 315 Variety Pack! Made In Passion!,дополнительный эпизод сериал идолмастер мальчик выйти вместе седьмой выпуск bd dvd диск,6.38
Natsume Yuujinchou Movie: Utsusemi ni Musubu,жизнь такаш нацумэ прежний связать тесный общение человек ёкай случайно нацумэ встречать свой старое знакомый юки воссоединение пробуждать юноша болезненный воспоминание некий ёкай встреча старый подруга бабушка йориэ цумура помогать нацумэ только узнать много новый позабыть мучительный прошлый славный общение омрачать присутствие ёкай прошлое таинственный семя ёкай попадать сад семья фудживар ночь вырастать фруктовый дерево плод который съедать нянко тут телохранитель нацумэ распадаться натрое,8.42
Tsuki ga Kirei Special,эпизод состоять ми короткий комедийный история выпустить blu ray dvd диск,7.29
Boku wa Robot-goshi no Kimi ni Koi wo Suru,промый видео приурочить выход одноимённый роман который поступить полка книжный магазин октябрь 2017 год 2060 год история разворачиваться накануне третий олимпийский игра токио компания который работать сак получать уведомление террористический угроза такэра член секретный национальный проект разработка искусственный интеллект пара свой друг детство коллега йоичиро вступать борьба группа террорист движимый безответный чувство девушка сак начинать испытывать чувство он робот,6.34
Kokkoku,семья дзюри юкава нельзя назвать счастливый один крыша собраться пьющий вечер отец выйти пенсия дед брат ведущий затворнический образ жизнь сестра мать одиночка подарить она племянник неизвестно кто сам дзюри несостоявшийся офисный работник завалить два десяток собеседование странный стечение обстоятельство один погожий день её племянник брат отправиться забирать он садик оказываться похитить какой шпана это они похититель требовать незамедлительно достать крупный сумма деньга наличные срок поздний минута едва сложиться обстоятельство тот момент дзюри осознать безвыходность решать отправиться спасение свой родный нож рука её дед вынужденно раскрывать семейный секрет передаваться поколение поколение тот они родиться владеть артефакт способный останавливать время тайна оказываться ошеломлять никто нынешний член семья он сам быть она посвятить настолько дедушка мочь себя представить сам дело семья юкава вовсе единственный кто мочь манипулировать время,7.02
Yinhun x He Wei Dao,коллаборация франшиза гинтама рекламный кампания лапша быстрый приготовление,7.1
Megalo Box,иметь идентификационный карта юноша кличка jd junk dog участвовать подпольный бой боксёрский ринг неимение выбор он использовать единственный свой талант средство заработок договорный матч руководство тренер намб жаждать схлестнуться настоящий профи легальный основа он удача близкий мегаполис собираться проходить беспрецедентный мерка любой боксёр мероприятие мегалония собирать свой арена хороший хороший движимый желание получить звание сильный наш герой хотеть стать туда попасть доказать сам себя что сам дело стоить он жизнь судьба молодой боксёр решать случайный знакомство юри юкико являться аба кто организатор городской турнир бокс доселе занимать мысль jd зарваться мальчишка такой он выглядеть глаз именитый боксёр доселе знать один поражение сознательно нарываться вызов получать он подставить свой тренер удар он получать гражданство новый имя джо теперь он прийтись достигнуть вершина умереть завтрашний джо поставить кон большой проект посвятить пятидесятилетие манга завтрашний джо,7.91
Kamiusagi Rope x Boruto: Naruto Next Generations,короткий рекламный ролик представлять себя коллаборация аниме сериал боруто новый поколение наруто бумажный кролик сеть кинотеатр toho cinemas приурочить открытие новый театр уэно,5.55
Major 2nd (TV),новый сезон сериал сюжет разворачиваться сын известный бейсболист горо хонда дайго шигэно мальчик мечтать стать известный бейсболист он отец вступать юношеский команда оправдать ожидание окружающий решать бросить команда вскоре это класс дайго переводиться новый ученик хикар сато новый ученик оказаться сын сам тошие сато он вступать тот команда который бросить дайго обернуться встреча сын два талантливый бейсболист стать они друг враг сподвигнуть этот встреча дайго вернуться бейсбол,7.46
Monogatari no Aru Satou,короткометражный ona являться реклама компания комая,6.09
Akashic Re:cords,презентация мобильный rpg игра akashic re cords компания squre enix kadokawa game's выпустить android ios ноябрь 2016 год программный поддержка игра быть прекратить август 2017 год,6.45
Kakusansei Million Arthur,презентация карточный rpg игра kakusansei million arthur компания squre enix выпустить апрель 2012 год ios май 2012 год android программный поддержка игра быть прекратить март 2015 год,5.38
Kairisei Million Arthur,презентация карточный rpg игра kairisei million arthur компания squre enix выпустить android ios ноябрь 2014 год,5.47
Banana Fish,щедрый природа одарить эша линкса красота воспитание превратить жестокий безжалостный убийца бродяга принять семья папа дино гольцин качество наследник секс игрушка он достигать возраст семнадцать год сбегать дом решить взбунтоваться дьявол который он вырастить страшный тайна который старший брат эша сойти ум ирак оказываться лапа омерзительный беспринципный папа поэтому сейчас самый удачный момент эйджи окумур молодой чистосердечный фотограф япония заводить знакомство погрязнуть бездна проблема эш,8.5
Piano no Mori (TV),невероятный история рояль сменить несколько поколение гениальный владелец объединить они судьба полный взлёт падение себя начинаться тот момент обыкновенный хулиган оборванец ещё сын проститутка кай итиносэ находить он выбросить лес свой дом очаровать таинственный инструмент он сам тот ведать открыть себя необычайный практически сказочный талант игра фортепиано слух который мочь позавидовать многие известный музыкант он время мальчишка мочь себя представить привязанность старый рояль прошествие время породить целый куча слух один зловещий легенда труп который впоследствии он задиристый одноклассник быть пугать новичок прибыть они сам токио сам этот новичок сюхэя амамия сын известный пианист будущий друг кай он соперник музыкальный сцена,7.31
Tsurune: Kazemai Koukou Kyuudoubu,сериал поведать мы история минато нарумия быть ребёнок минато вместе мать побывать соревнование кюдо японский искусство стрельба лука он вдохновиться выступление спортсмен решить последовать путь кюдо средний школа активно тренироваться потерпеть сокрушительный поражение соревнование он разочароваться себя решить бросить спорт меняться он поступать старший школа тот время минато преодолевать кризис неуверенность собственный сила решать предпринять новый попытка он смело новый вступать клуб стрельба лука где встречать свой старый соратник противник обретать новый друг рука рука который он быть стараться завоевать победа окружный соревнование,7.6
Tsukumogami Kashimasu,действие сериал происходить период эдо район фукагава старый эдо нынешний токио житель небольшой город накамати спокойный жизнь только сниться поселение постоянно страдать наводнение пожар поэтому вещь здесь относиться весьма равнодушно предпочитать самый необходимый брать аренда накамати развиться специфический бизнес прокат самый разнообразный вещь начинать горшков заканчивать футон повседневный одежда один такой магазинчик название идзумыть владеть брат сестра сэйдзь око вперемешку они товар идти цукумог вещь приобрести душа индивидуальность владелец иногда одалживать этот дух свой клиент цукумог настоящий сплетник они подслушивать семья различный история затем обсуждать они магазин помогать брат сестра они работа,6.71
Dahufa,воин имя ху фа отправляться спасать свой принц антиутопический деревня он находить этот деревня где править фальшивый бог он страж спасти принц ху фа должный победить бог он человек раскрыть весь заговор,6.71
